Zipcode,Median Age_2011,Population_2011,Population (White Alone)_2011,Population (Black Alone)_2011,Population (American Indian or Alaskan Native Alone)_2011,Population (Asian Alone)_2011,Population (Native Hawaiian and Other Pacific Islander Alone)_2011,Population (Two or more races)_2011,Household Income_2011,Per Capita Income_2011,Employed_2011,Unemployed_2011,Median Age_2012,Population_2012,Population (White Alone)_2012,Population (Black Alone)_2012,Population (American Indian or Alaskan Native Alone)_2012,Population (Asian Alone)_2012,Population (Native Hawaiian and Other Pacific Islander Alone)_2012,Population (Two or more races)_2012,Household Income_2012,Per Capita Income_2012,Employed_2012,Unemployed_2012,Median Age_2013,Population_2013,Population (White Alone)_2013,Population (Black Alone)_2013,Population (American Indian or Alaskan Native Alone)_2013,Population (Asian Alone)_2013,Population (Native Hawaiian and Other Pacific Islander Alone)_2013,Population (Two or more races)_2013,Household Income_2013,Per Capita Income_2013,Employed_2013,Unemployed_2013,Median Age_2014,Population_2014,Population (White Alone)_2014,Population (Black Alone)_2014,Population (American Indian or Alaskan Native Alone)_2014,Population (Asian Alone)_2014,Population (Native Hawaiian and Other Pacific Islander Alone)_2014,Population (Two or more races)_2014,Household Income_2014,Per Capita Income_2014,Employed_2014,Unemployed_2014,Median Age_2015,Population_2015,Population (White Alone)_2015,Population (Black Alone)_2015,Population (American Indian or Alaskan Native Alone)_2015,Population (Asian Alone)_2015,Population (Native Hawaiian and Other Pacific Islander Alone)_2015,Population (Two or more races)_2015,Household Income_2015,Per Capita Income_2015,Employed_2015,Unemployed_2015,Median Age_2016,Population_2016,Population (White Alone)_2016,Population (Black Alone)_2016,Population (American Indian or Alaskan Native Alone)_2016,Population (Asian Alone)_2016,Population (Native Hawaiian and Other Pacific Islander Alone)_2016,Population (Two or more races)_2016,Household Income_2016,Per Capita Income_2016,Employed_2016,Unemployed_2016,Median Age_2017,Population_2017,Population (White Alone)_2017,Population (Black Alone)_2017,Population (American Indian or Alaskan Native Alone)_2017,Population (Asian Alone)_2017,Population (Native Hawaiian and Other Pacific Islander Alone)_2017,Population (Two or more races)_2017,Household Income_2017,Per Capita Income_2017,Employed_2017,Unemployed_2017,Median Age_2018,Population_2018,Population (White Alone)_2018,Population (Black Alone)_2018,Population (American Indian or Alaskan Native Alone)_2018,Population (Asian Alone)_2018,Population (Native Hawaiian and Other Pacific Islander Alone)_2018,Population (Two or more races)_2018,Household Income_2018,Per Capita Income_2018,Employed_2018,Unemployed_2018
78724,27.1,20447,8798,6250,58,10,0,850,37736,13466,8270,698,26.4,21677,11485,6472,27,14,0,1003,35711,12365,8451,719,26.8,21454,12432,5953,13,115,0,1113,38479,13452,8804,809,27.5,23313,14311,5987,64,67,0,1117,36776,12777,9356,780,28.2,23612,15222,5911,99,60,0,738,39350,13280,9644,648,26.9,24558,15325,5665,178,46,0,809,41308,14134,9852,626,28.4,24833,14320,5317,339,63,12,845,45158,15450,10146,661,29.3,24779,12065,5795,349,29,31,663,45887,16452,10512,604
78725,32.8,6021,2354,1879,0,191,0,92,53131,19451,3058,363,31.9,6477,2877,2281,0,9,0,354,52313,19742,3498,330,31.7,8169,4744,2237,0,33,0,364,52381,18279,4366,284,32.3,7612,3831,3089,0,40,0,417,65048,20849,4372,390,32.1,7343,4226,2448,0,39,0,409,58707,21175,4396,134,32.1,7931,4644,1983,0,65,0,502,55119,20509,4356,166,35.2,7517,4111,1831,0,88,0,251,62172,23671,4232,173,35.1,7886,3518,1437,0,102,0,248,65345,27167,4556,113
78726,30.5,13198,10111,524,81,1559,0,250,66224,42366,8129,366,29.5,12482,9781,458,75,1470,0,128,66096,40197,7659,311,30.3,13181,10328,563,56,1654,0,134,67466,41210,7929,494,31.5,12786,10026,467,0,1880,0,203,68777,42581,7368,435,32.3,13027,9508,648,0,2332,0,247,70664,42583,7569,382,30.6,13925,10289,866,0,2309,0,314,95646,46664,7909,332,31.8,14610,10365,928,0,2611,0,301,88322,47885,8584,337,32,13867,9952,591,0,2360,0,564,77935,48434,8151,210
78727,31.6,28075,19598,2358,104,3929,0,727,63952,35229,17423,1037,32.8,28461,20120,2321,157,4073,0,697,65687,35795,17648,1048,32.7,28563,20456,1991,120,4461,0,850,69570,34953,17480,984,34.5,29506,20308,1935,228,5170,0,1136,69699,35901,18054,755,35.3,29354,20138,1720,158,5192,0,1283,72953,37805,18100,740,36.2,29085,20086,1902,143,5140,0,1157,72535,39524,17799,696,36.4,28999,19968,1828,183,5040,0,1230,74458,41208,17557,719,37,29509,19830,1914,294,5659,0,1224,78542,43943,17763,837
78728,30.1,20232,12967,3004,201,2258,110,694,46870,28827,12362,829,30.6,20939,14238,2867,282,1911,131,701,47405,28402,12455,729,31,20817,13379,3595,292,1878,65,780,48612,29156,12470,853,31.8,20794,13920,3115,195,1939,58,815,49521,30497,12825,643,32.9,21081,13686,3923,241,1807,0,785,53510,31946,13103,592,33.3,21858,14210,4168,139,1487,0,882,55619,32392,13347,514,34.2,21245,13304,3956,67,1768,0,864,55603,35054,13157,381,34.8,21480,14122,3362,95,1981,0,766,55099,34602,12667,487
78729,31.7,27024,20429,2357,93,2552,0,976,61165,32762,16530,1091,32.4,28228,21254,2880,15,2757,0,970,57358,33090,16928,1213,33.6,26906,20273,2553,51,2592,0,1047,60690,34237,16813,1016,33.1,28786,21627,3154,35,2418,0,1146,60567,33636,17825,1055,33.3,29386,22609,2576,67,2564,0,1218,65279,35280,18237,716,33.9,30151,23876,2039,69,2448,0,1260,70164,37322,18892,684,34.1,29434,23254,1643,93,2726,0,1178,73047,39379,18340,531,34.4,29315,23169,1778,0,2727,0,1019,76832,40494,18125,711
78730,37.2,8242,6783,212,0,889,68,206,121765,66307,4441,146,38.2,8312,7121,16,0,738,93,214,119573,68632,4544,163,37.8,8916,7958,29,0,480,93,170,120568,73526,5052,226,36.2,8591,7786,30,0,470,0,115,108421,70837,4663,223,38.7,8871,7953,0,0,468,0,291,105022,71149,4913,221,40.1,9038,8118,18,0,475,0,219,105086,76750,4989,208,41.4,8933,7895,76,0,414,0,423,108750,76909,4818,147,42.9,9186,7963,103,0,587,0,443,112333,82238,4891,136
78731,39.2,24898,21629,400,104,2152,33,348,80192,57630,13339,550,39.8,24716,21189,534,98,2169,34,417,78265,57182,13295,532,39.4,25575,21972,701,96,2005,0,555,75269,56169,13700,597,39.5,26412,22428,751,95,2115,10,646,79315,57570,13601,644,39,26595,22642,649,114,2099,26,708,82892,59754,13977,549,38.3,27401,23274,788,27,1965,30,826,83438,60889,14903,582,38.2,27447,23021,721,96,2268,20,909,89099,64934,14910,512,39.1,27175,22898,457,89,2268,20,1002,94048,69343,14753,419
78732,35,13389,11072,201,53,1337,0,291,125171,49034,6114,316,35.5,14307,11821,257,76,1393,0,381,127726,50114,6314,336,37.2,15097,12946,228,103,1350,0,356,131216,52104,6490,383,39,15312,12722,471,108,1573,0,376,128397,53085,6689,250,39.4,16269,13792,299,24,1672,0,453,132980,56272,6829,375,39.3,16851,14257,297,24,1622,0,622,138734,57823,7107,375,39.2,17762,15215,120,0,2056,0,371,142612,62783,8004,329,40.6,17849,14961,273,0,2075,0,531,156599,66799,8394,189
78733,39.3,9219,8204,27,0,736,0,152,119516,55940,4260,118,39.7,9486,8280,0,0,938,0,216,124831,58117,4207,182,41,9475,8187,0,9,939,0,266,122860,62990,4233,195,40.4,9404,7854,0,6,1123,0,317,127250,64975,4322,250,39.9,8930,7354,16,6,1205,0,270,130964,64304,4039,217,40.3,8886,7185,16,5,1261,13,309,129875,67169,4205,178,40.6,8754,7196,17,8,1064,9,362,136563,71845,4245,127,42.1,8611,6950,20,0,1240,8,329,154543,74320,4054,183
