Zipcode,Education (No Schooling)_2012,Education (High School)_2012,Education (GED)_2012,Education (Associate's)_2012,Education (Bachelor's)_2012,Education (Master's)_2012,Education (Master's)_2012,Education (Doctorate)_2012,Education (No Schooling)_2013,Education (High School)_2013,Education (GED)_2013,Education (Associate's)_2013,Education (Bachelor's)_2013,Education (Master's)_2013,Education (Master's)_2013,Education (Doctorate)_2013,Education (No Schooling)_2014,Education (High School)_2014,Education (GED)_2014,Education (Associate's)_2014,Education (Bachelor's)_2014,Education (Master's)_2014,Education (Master's)_2014,Education (Doctorate)_2014,Education (No Schooling)_2015,Education (High School)_2015,Education (GED)_2015,Education (Associate's)_2015,Education (Bachelor's)_2015,Education (Master's)_2015,Education (Master's)_2015,Education (Doctorate)_2015,Education (No Schooling)_2016,Education (High School)_2016,Education (GED)_2016,Education (Associate's)_2016,Education (Bachelor's)_2016,Education (Master's)_2016,Education (Master's)_2016,Education (Doctorate)_2016,Education (No Schooling)_2017,Education (High School)_2017,Education (GED)_2017,Education (Associate's)_2017,Education (Bachelor's)_2017,Education (Master's)_2017,Education (Master's)_2017,Education (Doctorate)_2017,Education (No Schooling)_2018,Education (High School)_2018,Education (GED)_2018,Education (Associate's)_2018,Education (Bachelor's)_2018,Education (Master's)_2018,Education (Master's)_2018,Education (Doctorate)_2018
78732,0,551,174,318,3897,1824,424,260,0,606,163,434,4010,1914,466,462,21,566,156,399,4017,2042,427,483,34,549,136,571,4315,2081,475,519,41,605,41,646,4550,1777,602,432,51,550,70,533,5156,1941,575,429,42,517,77,600,4903,2501,354,254
78733,18,465,68,293,2034,1377,536,269,12,567,86,242,2106,1240,612,326,11,513,42,280,2325,1265,565,336,12,399,48,239,2448,1157,558,298,17,377,40,255,2364,1145,546,348,4,338,31,275,2224,980,575,343,5,211,45,285,2183,1104,551,342
78734,38,1787,191,574,4261,1471,350,307,47,1830,261,591,4408,1497,301,242,13,1656,248,535,4325,1676,289,317,15,1806,264,570,4607,1760,271,302,15,1889,222,668,4847,1764,310,318,7,1538,202,628,5152,1997,333,342,6,1384,75,600,5306,1859,505,407
78735,62,778,110,560,4854,1672,701,425,102,730,96,605,4952,1822,766,437,66,864,94,563,4774,2037,879,500,60,1037,84,483,4793,2217,850,467,78,1172,133,410,4689,2131,701,404,73,1220,91,431,4832,2441,582,414,63,1314,97,439,4914,2329,527,451
78736,37,776,167,337,1727,731,79,113,56,652,110,270,1803,833,62,86,34,742,154,211,1726,853,108,85,0,771,184,442,1991,842,121,92,0,715,177,402,2173,809,113,105,0,658,142,407,2238,772,128,72,0,841,131,442,2523,674,241,69
78737,1,884,118,477,3335,1302,416,277,1,859,106,546,3463,1447,433,306,1,1080,126,697,3620,1408,456,273,75,932,125,706,3813,1598,401,257,59,932,121,721,3928,1790,207,244,52,1051,154,830,4143,1831,205,325,45,1110,150,658,4283,1871,240,296
78738,2,554,67,412,3788,1505,359,108,2,618,57,490,3865,1552,400,133,2,687,68,536,4137,1513,429,188,16,879,48,535,4402,1699,488,233,25,926,62,513,4526,1774,430,216,18,977,43,563,4894,1822,411,242,26,885,62,489,5142,1800,453,275
78739,50,675,50,523,4569,1900,594,358,44,687,74,484,4754,2002,529,353,63,641,29,577,5111,2006,624,419,0,747,35,572,5275,2064,490,515,0,815,54,637,5497,2353,532,580,18,766,54,634,5977,2508,552,586,19,953,64,600,5607,2740,660,565
78741,512,4161,1020,1139,3655,1294,224,223,510,4525,1035,1107,3866,1351,225,237,680,4688,1060,1243,4556,1393,247,310,715,4934,1250,1707,5339,1544,253,256,884,4997,1058,1793,6155,1972,368,317,969,5324,1368,2064,6501,2018,401,400,1156,5360,1415,2145,7551,1872,545,356
78742,5,95,42,5,53,22,0,4,7,66,41,8,68,40,0,5,13,74,40,20,46,34,0,4,25,103,18,43,57,29,0,4,50,95,15,53,45,7,0,0,27,72,5,61,57,10,4,0,42,72,18,59,29,11,6,0
78744,946,4877,1320,1225,2291,652,220,29,1147,5452,1331,1233,2478,664,201,35,1221,5581,1285,1410,2955,754,133,35,1001,5954,1140,1449,3311,794,120,43,1306,6549,1172,1425,3329,852,189,31,1372,6906,1247,1634,3758,920,154,60,1248,7034,1248,1726,4466,1061,177,74
78745,374,6559,1458,2829,9756,3007,537,406,298,6923,1836,2426,10258,3204,587,359,377,7162,1860,2211,10887,3384,604,473,457,7232,1834,2508,11512,3659,839,522,468,7292,2038,2556,12198,3805,859,517,559,6855,2019,2814,12637,4364,749,630,624,6991,2131,3331,12986,4593,764,676
78746,7,676,185,637,7965,3885,2025,1037,18,783,167,625,8101,3972,2097,966,17,898,197,620,8279,3888,1869,1045,25,770,138,641,8507,4107,1963,979,27,774,167,640,8553,4059,2065,911,37,748,167,690,8693,4168,2294,956,41,663,148,648,8997,4201,2141,917
78747,152,1879,488,601,1869,403,100,100,201,2194,434,584,2354,406,133,118,313,2310,639,544,2560,481,140,136,352,2512,625,666,2779,617,109,98,416,2644,571,744,2972,759,119,103,352,3030,504,618,2935,878,112,162,290,2751,615,693,2991,1108,94,149
78748,133,4341,761,1972,7765,2572,275,238,134,4469,801,2116,8639,2750,297,217,132,5015,971,2068,9163,3252,343,255,191,5306,958,2097,9598,3687,430,300,217,5602,1078,2146,9970,3902,453,287,333,5223,1071,2246,10642,4367,458,289,321,5764,975,2017,11253,4264,549,233
78749,69,2405,430,1500,9074,3654,599,637,74,2437,339,1572,9571,3755,725,633,103,2248,321,1448,9900,4174,841,821,134,2325,353,1401,10305,4528,879,870,104,2221,337,1464,10592,4359,914,752,94,2370,340,1334,11449,4629,909,778,50,2363,419,1364,11117,5311,977,858
78750,76,2313,425,1144,6514,2611,845,892,61,2264,409,1082,6564,2470,801,761,95,2528,493,1324,6549,2851,759,698,183,2502,503,1317,7004,2848,736,599,241,2413,537,1318,7101,3541,676,544,184,2411,374,1478,7280,3767,730,682,213,2560,313,1464,7513,4108,733,738
78751,69,549,175,523,3262,1622,218,547,52,501,189,438,3468,1893,277,488,70,646,199,382,3599,1893,370,433,71,767,178,389,3881,1864,390,445,56,779,187,312,4359,2008,432,518,67,892,163,394,4728,2040,517,540,84,873,199,437,4954,2121,513,753
78752,333,1945,438,551,1691,830,37,140,339,2075,480,493,2095,807,88,120,436,2422,302,383,2306,921,122,118,483,2673,269,373,2738,801,206,126,451,2724,185,311,2705,760,295,81,405,2973,191,344,3172,889,411,129,568,2748,301,545,3749,1132,434,125
78753,1038,7005,789,1628,4396,1376,241,202,967,6852,1143,1645,4746,1238,167,186,1074,7081,1352,1644,4811,1289,268,206,994,7968,1343,1697,4790,1132,269,287,1048,8624,1558,1691,4903,1172,279,268,1152,9552,1642,1971,5319,1541,296,220,1285,9777,1410,2257,5943,1742,262,247
78754,159,1480,417,699,2426,795,83,102,187,2008,516,698,2516,902,97,127,217,2390,480,955,2597,1037,120,139,322,2653,429,1324,3103,1331,141,110,361,2843,397,1408,3159,1480,217,199,302,2931,415,1551,3780,1703,333,187,253,2697,431,1489,4016,1810,326,318
78756,3,478,97,225,2275,1180,168,295,9,328,152,251,2218,1293,211,339,11,568,173,251,2308,1403,248,391,10,595,178,187,2529,1592,255,380,22,494,163,221,2941,1419,287,361,21,511,152,156,2796,1472,310,428,12,623,62,216,2978,1483,324,387
78757,111,2280,376,914,5140,2334,519,493,116,2178,384,926,5220,2528,514,461,78,2323,309,1002,5774,2579,437,524,121,2319,299,1071,6232,2516,471,535,147,2157,395,1028,6434,2712,511,452,213,2459,285,1037,6364,2561,619,538,364,2108,290,980,6453,2854,611,655
78758,482,4916,1197,1697,6078,2188,153,210,562,5270,1200,1690,6744,2167,169,200,561,5725,1167,1769,6489,2137,144,397,678,6238,1138,1797,7272,1927,192,557,697,6538,1046,1702,7372,2090,325,613,598,6743,916,1969,8308,2220,365,554,623,6776,865,2023,8582,2430,436,922
78759,19,2555,412,1454,11152,5081,1346,1386,47,2476,424,1484,11325,5109,1497,1299,67,2476,468,1431,11407,5571,1443,1445,87,2538,521,1432,11558,6057,1396,1448,108,2535,406,1532,11999,6136,1304,1549,145,2582,384,1619,11782,6529,1285,1691,106,2579,402,1602,12516,6712,1318,1684
