Zipcode,Median year housing units were built_2011,Median contract rent_2011,Median gross rent (contract rent plus utilities)_2011,Median value (dollars) for Owner-Occupied housing units_2011,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2011,Median year housing units were built_2012,Median contract rent_2012,Median gross rent (contract rent plus utilities)_2012,Median value (dollars) for Owner-Occupied housing units_2012,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2012,Median year housing units were built_2013,Median contract rent_2013,Median gross rent (contract rent plus utilities)_2013,Median value (dollars) for Owner-Occupied housing units_2013,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2013,Median year housing units were built_2014,Median contract rent_2014,Median gross rent (contract rent plus utilities)_2014,Median value (dollars) for Owner-Occupied housing units_2014,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2014,Median year housing units were built_2015,Median contract rent_2015,Median gross rent (contract rent plus utilities)_2015,Median value (dollars) for Owner-Occupied housing units_2015,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2015,Median year housing units were built_2016,Median contract rent_2016,Median gross rent (contract rent plus utilities)_2016,Median value (dollars) for Owner-Occupied housing units_2016,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2016,Median year housing units were built_2017,Median contract rent_2017,Median gross rent (contract rent plus utilities)_2017,Median value (dollars) for Owner-Occupied housing units_2017,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2017,Median year housing units were built_2018,Median contract rent_2018,Median gross rent (contract rent plus utilities)_2018,Median value (dollars) for Owner-Occupied housing units_2018,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2018
78736,1986,888,1023,212600,1690,1987,990,1146,215500,1719,1987,1032,1236,228900,1758,1987,1080,1348,237000,1679,1988,1131,1373,266100,1833,1988,1110,1219,290200,2087,1987,1267,1425,313700,2236,1988,1327,1490,330000,2278
78737,1995,958,1139,325000,2448,1995,1136,1185,324500,2478,1997,1182,1232,338700,2545,1998,976,1214,341300,2561,1999,1520,1579,350900,2553,2001,1634,2023,370800,2558,2002,1700,1979,394600,2679,2003,1409,1565,428000,2861
78738,2002,1172,1281,459300,3061,2002,1183,1341,466700,3246,2002,1185,1344,460200,3200,2003,1216,1373,456300,3139,2003,1240,1402,469200,3106,2004,1267,1407,486000,3038,2005,1350,1435,496300,3039,2005,1408,1529,553000,3158
78739,2000,1889,2001,349000,2589,2000,2001,2001,350500,2568,2000,1948,2001,355900,2553,2001,1985,2001,364600,2563,2000,2170,2282,381400,2510,2000,2243,2316,394600,2519,2001,2263,2339,426700,2587,2001,2240,2309,447500,2720
78741,1984,670,811,117000,1208,1984,682,835,120200,1255,1985,699,851,127500,1278,1985,720,866,133400,1325,1986,753,901,139000,1312,1986,815,951,141300,1231,1987,873,1002,156800,1416,1987,932,1082,194000,1546
78742,1981,336,669,44200,756,1980,346,639,54400,772,1983,437,690,72100,778,1976,736,908,84500,784,1976,735,911,76400,980,1978,757,963,80600,917,1975,838,1048,86100,1078,1974,953,1067,58300,-666666666
78744,1987,709,898,108800,1259,1987,729,946,108100,1263,1988,760,962,106500,1243,1988,780,982,107200,1252,1989,804,1012,106000,1206,1989,848,1067,111400,1180,1990,888,1104,121500,1233,1992,942,1157,138500,1271
78745,1979,796,958,159800,1369,1980,832,990,166200,1378,1979,853,1020,170200,1395,1979,879,1058,174600,1414,1979,913,1092,183900,1425,1979,961,1140,204500,1468,1980,1052,1218,229200,1534,1980,1115,1293,255200,1628
78746,1986,1070,1205,610800,3401,1986,1117,1221,619900,3334,1986,1132,1225,634000,3407,1986,1192,1325,666600,3509,1987,1250,1421,713400,3506,1986,1299,1449,749000,3560,1986,1316,1456,812900,3825,1986,1389,1519,851900,3948
78747,2001,849,1048,170700,1483,2002,881,1061,163000,1457,2002,908,1104,167800,1471,2002,896,1147,168100,1438,2002,970,1180,169400,1420,2002,1057,1309,177600,1435,2002,1167,1387,203800,1451,2003,1253,1390,222700,1479
78748,1994,888,1086,181800,1617,1995,902,1095,185500,1612,1996,942,1138,187900,1624,1996,989,1181,192800,1613,1996,1008,1198,205800,1572,1997,1067,1240,221000,1589,1999,1139,1326,238600,1641,2000,1229,1392,256200,1703
78749,1994,939,1093,229900,1756,1994,984,1150,233900,1797,1994,1008,1178,237800,1828,1994,1078,1214,248300,1848,1994,1137,1284,257400,1835,1994,1162,1307,275600,1837,1994,1192,1335,296900,1942,1994,1266,1396,322400,1984
78750,1985,808,989,295300,2079,1985,854,1012,303100,2030,1986,883,1063,306900,2040,1986,894,1097,312500,2031,1986,946,1151,322700,1976,1987,1002,1222,330500,2030,1986,1074,1255,359500,2166,1986,1218,1353,388900,2264
78751,1970,739,829,300300,2033,1969,757,865,292200,1978,1966,777,876,297200,2104,1966,821,905,295700,2079,1966,861,963,322900,2086,1964,961,1087,366100,2195,1964,1074,1200,395200,2482,1965,1200,1299,450000,2540
78752,1973,633,744,148900,1354,1975,634,752,153000,1349,1976,664,805,163900,1368,1977,678,831,170600,1411,1977,697,852,187400,1445,1978,735,892,202800,1532,1979,794,962,233900,1656,1979,877,1061,253800,1770
78753,1984,649,795,134000,1348,1985,674,826,134900,1344,1985,690,852,135700,1323,1985,706,869,136300,1317,1985,728,893,142700,1331,1985,783,933,150700,1356,1986,837,1003,161000,1407,1986,876,1058,177300,1505
78754,2001,774,925,164300,1566,2001,828,969,167600,1584,2001,848,997,163000,1570,2001,872,1045,163000,1578,2001,886,1055,159300,1526,2001,907,1121,169300,1545,2002,957,1183,183200,1620,2001,1042,1204,211000,1713
78756,1959,759,883,330600,2081,1958,804,888,342300,2118,1960,812,894,364400,2409,1961,836,932,377600,2417,1963,879,1023,395600,2494,1964,1030,1157,454300,2452,1969,1073,1213,476700,2483,1969,1146,1236,493200,2630
78757,1964,734,878,238300,1765,1964,742,895,253300,1780,1964,747,912,259400,1782,1964,811,996,277100,1813,1964,852,1020,302500,1827,1965,892,1082,321200,1858,1965,943,1120,348600,1995,1966,998,1178,389000,2223
78758,1983,711,875,140700,1317,1983,725,898,144200,1333,1983,744,918,146100,1330,1983,760,931,147200,1307,1982,797,962,151200,1299,1983,842,998,159600,1304,1983,894,1072,178100,1361,1983,965,1142,202200,1446
78759,1985,804,938,302300,2087,1985,828,962,307800,2080,1985,855,984,312300,2075,1985,889,1032,320900,2123,1985,931,1081,341200,2179,1985,991,1150,367600,2209,1985,1052,1203,389900,2321,1985,1119,1260,414600,2472
