"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2020-01-31,"73541","OK","Lawton","Comanche County","Fletcher",11279,878,0.0207,0.0207,-0.0169,1328
2020-01-31,"98340","WA","Bremerton-Silverdale","Kitsap County","Hansville",11280,1779,-0.0083,-0.0238,0,1526
2020-01-31,"52052","IA",,"Clayton County","Guttenberg",11281,831,-0.0097,-0.0129,-0.0721,1596
2020-01-31,"52208","IA","Cedar Rapids","Benton County","Belle Plaine",11282,811,-0.0133,-0.0053,0.0014,1265
2020-01-31,"76449","TX","Mineral Wells","Palo Pinto County","Graford",11283,1283,-0.0211,-0.043,-0.0692,2748
2020-01-31,"07460","NJ","New York-Newark-Jersey City","Sussex County","Hardyston Township",11284,1539,0.0001,0.0159,0.0061,1607
2020-01-31,"37375","TN","Tullahoma-Manchester","Franklin County","Sewanee",11285,1215,0.0109,0.0202,0.0126,1624
2020-01-31,"46553","IN","Elkhart-Goshen","Elkhart County","New Paris",11286,1112,0.022,0.0629,0.0387,1257
2020-01-31,"50054","IA","Newton","Jasper County","Colfax",11287,929,0.0107,0.0268,-0.0168,1330
2020-01-31,"23069","VA","Richmond","Hanover County","Hanover",11288,1444,0.0083,-0.0121,-0.0021,1149
2020-01-31,"55020","MN","Minneapolis-St. Paul-Bloomington","Scott County","Elko New Market",11289,2067,-0.0094,-0.0468,-0.0561,2143
2020-01-31,"12074","NY","Albany-Schenectady-Troy","Saratoga County","Town of Galway",11290,1600,0.002,0.0493,0.0795,1246
2020-01-31,"62275","IL","St. Louis","Bond County","Pocahontas",11291,1090,0.0126,-0.0191,0.0345,1358
2020-01-31,"37317","TN","Cleveland","Polk County","Copperhill",11292,995,-0.0148,-0.0246,0.0438,1200
2020-01-31,"37356","TN",,"Grundy County","Monteagle",11293,1110,-0.0039,-0.0036,-0.0143,1179
2020-01-31,"18972","PA","Philadelphia-Camden-Wilmington","Bucks County","Bridgeton Township",11294,1767,-0.0119,0.0343,0.0417,1293
2020-01-31,"65063","MO","Jefferson City","Callaway County","New Bloomfield",11295,783,0.0045,0.0482,0.0353,1441
2020-01-31,"66542","KS","Topeka","Shawnee County","Tecumseh",11296,977,-0.015,-0.0569,-0.1535,1335
2020-01-31,"85539","AZ","Payson","Gila County","Miami",11297,1111,-0.001,0.0031,-0.0664,1288
2020-01-31,"15445","PA","Pittsburgh","Fayette County","Hopwood",11298,802,-0.0035,0.0506,-0.0243,1032
2020-01-31,"28454","NC","Jacksonville","Onslow County","Maple Hill",11299,994,-0.0079,0.0033,0.0498,1224
2020-01-31,"49246","MI","Jackson","Jackson County","Horton",11300,1042,-0.0036,0.0228,0.0839,1218
2020-01-31,"95633","CA","Sacramento--Roseville--Arden-Arcade","El Dorado County","Garden Valley",11301,1801,-0.0184,-0.0151,-0.0112,1110
2020-01-31,"23086","VA","Richmond","King William County","King William",11302,1399,0.0031,-0.0131,0.0275,1271
2020-01-31,"47868","IN","Bloomington","Owen County","Poland",11303,859,-0.0145,-0.0424,0.0058,1274
2020-01-31,"01541","MA","Worcester","Worcester County","Princeton",11304,1507,-0.0091,-0.0533,-0.0086,1408
2020-01-31,"30205","GA","Atlanta-Sandy Springs-Roswell","Fayette County","Brooks",11305,1889,0.0066,0.0072,0.0247,1397
2020-01-31,"46573","IN","Elkhart-Goshen","Elkhart County","Wakarusa",11306,1002,-0.0113,-0.0479,-0.0632,1251
2020-01-31,"47598","IN","Jasper","Pike County","Winslow",11307,801,-0.0138,-0.0068,0.0109,1310
2020-01-31,"46349","IN","Chicago-Naperville-Elgin","Newton County","Lake Village",11308,1083,-0.006,0.0006,0.0247,1229
2020-01-31,"65486","MO",,"Miller County","Iberia",11309,835,-0.0055,-0.0319,-0.0223,1262
2020-01-31,"17023","PA","Harrisburg-Carlisle","Dauphin County","Washington Township",11310,1079,0.0158,0.0369,-0.0291,1230
2020-01-31,"52342","IA",,"Tama County","Toledo",11311,877,0.0047,0.0077,-0.046,1259
2020-01-31,"71640","AR",,"Chicot County","Eudora",11312,752,0.0127,0.0046,0.014,1027
2020-01-31,"69145","NE",,"Kimball County","Kimball",11313,837,-0.0035,-0.027,-0.0474,1284
2020-01-31,"59716","MT","Bozeman","Gallatin County","Gallatin Gateway",11314,1721,0.0009,-0.0571,-0.0664,6341
2020-01-31,"26175","WV",,"Tyler County","Sistersville",11315,857,-0.0006,-0.0001,0.0059,1236
2020-01-31,"30555","GA",,"Fannin County","McCaysville",11316,1323,0.0074,0.0122,0.0691,1313
2020-01-31,"64843","MO","Fayetteville-Springdale-Rogers","McDonald County","Goodman",11317,825,-0.0184,0.0191,-0.0002,1142
2020-01-31,"88346","NM","Ruidoso","Lincoln County","Ruidoso Downs",11318,1046,0.0162,-0.0526,-0.042,1089
2020-01-31,"46929","IN","Lafayette-West Lafayette","Carroll County","Flora",11319,934,-0.0143,-0.0439,0.0366,1185
2020-01-31,"45883","OH","Celina","Mercer County","Saint Henry",11320,1308,-0.0048,-0.023,0.1026,1138
2020-01-31,"31046","GA","Macon-Bibb County","Monroe County","Juliette",11321,1257,0.0101,0.0216,0.0708,1187
2020-01-31,"46510","IN","Warsaw","Kosciusko County","Claypool",11322,1167,-0.0102,-0.0274,0.0144,1453
2020-01-31,"52338","IA","Iowa City","Johnson County","Swisher",11323,1321,0.0003,0.0362,0.0234,1361
2020-01-31,"27846","NC",,"Martin County","Jamesville",11324,952,-0.0135,0.0081,0.0027,1016
2020-01-31,"22734","VA","Washington-Arlington-Alexandria","Fauquier County","Remington",11325,1484,-0.0255,-0.014,0.0526,1221
2020-01-31,"33827","FL","Lakeland-Winter Haven","Polk County","Babson Park",11326,1100,0.0157,0.0296,-0.0137,1167
2020-01-31,"43014","OH","Mount Vernon","Knox County","Danville",11327,940,0.0115,0.0158,0.0617,1098
2020-01-31,"97131","OR",,"Tillamook County","Nehalem",11328,1674,0.0089,0.0438,0.0611,1516
2020-01-31,"46071","IN","Indianapolis-Carmel-Anderson","Boone County","Thorntown",11329,1112,0.0081,-0.0127,-0.0829,1110
2020-01-31,"26570","WV","Fairmont","Marion County","Fairview",11330,976,0.0053,0.0393,-0.0356,1143
2020-01-31,"59922","MT","Kalispell","Flathead County","Lakeside",11331,1547,0.0278,-0.0023,0.0121,1668
2020-01-31,"89085","NV","Las Vegas-Henderson-Paradise","Clark County","North Las Vegas",11332,1617,0.0008,-0.0194,0.0306,1836
2020-01-31,"17563","PA","Lancaster","Lancaster County","Fulton Township",11333,1194,0.0126,0.0378,0.0323,1149
2020-01-31,"03855","NH","Boston-Cambridge-Newton","Strafford County","New Durham",11334,1312,-0.0039,0.0032,-0.1195,1565
2020-01-31,"18250","PA","Allentown-Bethlehem-Easton","Carbon County","Summit Hill",11335,899,0.0021,0.0325,0.035,1405
2020-01-31,"50622","IA","Waterloo-Cedar Falls","Bremer County","Denver",11336,947,-0.0157,0.0004,-0.0249,1238
2020-01-31,"56358","MN",,"Kanabec County","Ogilvie",11337,1424,0.0156,0.0313,0.0143,1215
2020-01-31,"01503","MA","Worcester","Worcester County","Berlin",11338,1687,0.0155,0.01,0.0243,1205
2020-01-31,"63960","MO",,"Stoddard County","Puxico",11339,795,0.0123,0.046,0.0075,1169
2020-01-31,"52228","IA","Cedar Rapids","Linn County","Fairfax",11340,1174,0.0073,0.0277,0.0509,1457
2020-01-31,"51109","IA","Sioux City","Woodbury County","Sioux City",11341,921,0.0156,-0.042,0.0774,1259
2020-01-31,"55960","MN","Rochester","Olmsted County","Oronoco",11342,1410,0.0282,0.0127,-0.0533,1258
2020-01-31,"95328","CA","Modesto","Stanislaus County","Keyes",11343,1466,0.0086,0.0076,0.0833,1202
2020-01-31,"22737","VA","Washington-Arlington-Alexandria","Culpeper County","Rixeyville",11344,1407,0.0019,0.012,-0.0013,1336
2020-01-31,"12543","NY","New York-Newark-Jersey City","Orange County","Maybrook",11345,1615,0.0063,0.0303,0.0331,1072
2020-01-31,"07088","NJ","New York-Newark-Jersey City","Union County","Union",11346,1924,0.004,0.0129,0.0394,1001
2020-01-31,"30663","GA","Atlanta-Sandy Springs-Roswell","Morgan County","Rutledge",11347,1398,0.0168,0.0311,0.0733,1209
2020-01-31,"07931","NJ","New York-Newark-Jersey City","Somerset County","Far Hills",11348,2737,-0.0136,0.0391,-0.0782,1478
2020-01-31,"73173","OK","Oklahoma City","Oklahoma County","Oklahoma City",11349,1379,0.0233,0.0373,0.0348,1552
2020-01-31,"56435","MN","Brainerd","Cass County","Backus",11350,1299,0.0147,0.0448,0.1005,1204
2020-01-31,"07838","NJ","Allentown-Bethlehem-Easton","Warren County","Liberty Township",11351,1664,-0.0111,-0.0511,0.0407,1392
2020-01-31,"37134","TN",,"Humphreys County","New Johnsonville",11352,949,0.0111,0.0614,0.0621,1218
2020-01-31,"04001","ME","Portland-South Portland","York County","Acton",11353,1484,0.0222,0.0329,-0.0076,1051
2020-01-31,"44626","OH","Canton-Massillon","Stark County","East Sparta",11354,790,0.0192,0.024,-0.0054,1193
2020-01-31,"75058","TX","Sherman-Denison","Grayson County","Gunter",11355,1306,-0.0119,0.0001,-0.0063,1357
2020-01-31,"80610","CO","Greeley","Weld County","Ault",11356,1685,-0.0134,-0.0332,0.0384,1332
2020-01-31,"30538","GA","Toccoa","Stephens County","Eastanollee",11357,1117,0.0087,0.0176,0.0208,1029
