,Unnamed: 0_x,Median year housing units were built_2011,Median contract rent_2011,Median gross rent (contract rent plus utilities)_2011,Median value (dollars) for Owner-Occupied housing units_2011,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2011,Zipcode,Unnamed: 0_y,Median year housing units were built_2012,Median contract rent_2012,Median gross rent (contract rent plus utilities)_2012,Median value (dollars) for Owner-Occupied housing units_2012,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2012,Unnamed: 0_x,Median year housing units were built_2013,Median contract rent_2013,Median gross rent (contract rent plus utilities)_2013,Median value (dollars) for Owner-Occupied housing units_2013,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2013,Unnamed: 0_y,Median year housing units were built_2014,Median contract rent_2014,Median gross rent (contract rent plus utilities)_2014,Median value (dollars) for Owner-Occupied housing units_2014,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2014,Unnamed: 0_x,Median year housing units were built_2015,Median contract rent_2015,Median gross rent (contract rent plus utilities)_2015,Median value (dollars) for Owner-Occupied housing units_2015,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2015,Unnamed: 0_y,Median year housing units were built_2016,Median contract rent_2016,Median gross rent (contract rent plus utilities)_2016,Median value (dollars) for Owner-Occupied housing units_2016,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2016,Unnamed: 0_x,Median year housing units were built_2017,Median contract rent_2017,Median gross rent (contract rent plus utilities)_2017,Median value (dollars) for Owner-Occupied housing units_2017,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2017,Unnamed: 0_y,Median year housing units were built_2018,Median contract rent_2018,Median gross rent (contract rent plus utilities)_2018,Median value (dollars) for Owner-Occupied housing units_2018,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status_2018
26,25351,1998.0,962.0,1101.0,579300.0,3325.0,78730,28431,1998.0,973.0,1106.0,570400.0,3184.0,26377,1999.0,987.0,1138.0,580300.0,3191.0,27907,1999.0,1016.0,1172.0,557000.0,3156.0,5260,1998.0,1011.0,1187.0,576100.0,3247.0,20340,1999.0,1083.0,1219.0,641200.0,3727.0,27388,1999.0,1154.0,1281.0,659400.0,3798.0,27388,1999.0,1219.0,1329.0,700300.0,4001.0
27,25352,1977.0,861.0,969.0,429700.0,2618.0,78731,28432,1977.0,895.0,1016.0,436800.0,2635.0,26378,1977.0,953.0,1098.0,442300.0,2779.0,27908,1978.0,985.0,1119.0,452500.0,2807.0,5261,1977.0,1013.0,1150.0,476400.0,2839.0,20341,1978.0,1038.0,1186.0,509600.0,2879.0,27389,1978.0,1074.0,1231.0,572700.0,2968.0,27389,1977.0,1150.0,1266.0,606000.0,3109.0
28,25353,2003.0,1513.0,1573.0,375300.0,2924.0,78732,28433,2003.0,1431.0,1688.0,388600.0,3006.0,26379,2003.0,1419.0,1702.0,389900.0,3059.0,27909,2003.0,1213.0,1406.0,411100.0,3102.0,5262,2004.0,1327.0,1393.0,467300.0,3226.0,20342,2004.0,1359.0,1489.0,484100.0,3241.0,27390,2004.0,1394.0,1466.0,495800.0,3221.0,27390,2005.0,1456.0,1496.0,519100.0,3266.0
29,25354,1992.0,1266.0,1521.0,439800.0,2774.0,78733,28434,1992.0,1268.0,1496.0,467700.0,2775.0,26380,1992.0,1260.0,1459.0,487900.0,2945.0,27910,1993.0,1293.0,1485.0,489900.0,3012.0,5263,1994.0,1403.0,1653.0,497900.0,3037.0,20343,1994.0,1434.0,1608.0,528100.0,3084.0,27391,1993.0,1292.0,1511.0,533800.0,3105.0,27391,1993.0,1720.0,1842.0,579500.0,3193.0
30,25355,1991.0,1024.0,1297.0,322500.0,2198.0,78734,28435,1992.0,1086.0,1311.0,321700.0,2303.0,26381,1993.0,1100.0,1300.0,326900.0,2302.0,27911,1992.0,1140.0,1328.0,325000.0,2276.0,5264,1992.0,1269.0,1564.0,340800.0,2222.0,20344,1992.0,1292.0,1495.0,352300.0,2221.0,27392,1991.0,1467.0,1715.0,377400.0,2289.0,27392,1993.0,1540.0,1759.0,406800.0,2432.0
31,25356,1996.0,955.0,1107.0,375100.0,2738.0,78735,28436,1996.0,968.0,1122.0,379900.0,2791.0,26382,1996.0,1026.0,1147.0,373400.0,2685.0,27912,1997.0,1086.0,1191.0,387600.0,2756.0,5265,1998.0,1122.0,1240.0,410400.0,2628.0,20345,1998.0,1178.0,1304.0,426500.0,2653.0,27393,1999.0,1215.0,1362.0,463200.0,2729.0,27393,1999.0,1312.0,1453.0,482400.0,2847.0
32,25357,1986.0,888.0,1023.0,212600.0,1690.0,78736,28437,1987.0,990.0,1146.0,215500.0,1719.0,26383,1987.0,1032.0,1236.0,228900.0,1758.0,27913,1987.0,1080.0,1348.0,237000.0,1679.0,5266,1988.0,1131.0,1373.0,266100.0,1833.0,20346,1988.0,1110.0,1219.0,290200.0,2087.0,27394,1987.0,1267.0,1425.0,313700.0,2236.0,27394,1988.0,1327.0,1490.0,330000.0,2278.0
33,25358,1995.0,958.0,1139.0,325000.0,2448.0,78737,28438,1995.0,1136.0,1185.0,324500.0,2478.0,26384,1997.0,1182.0,1232.0,338700.0,2545.0,27914,1998.0,976.0,1214.0,341300.0,2561.0,5267,1999.0,1520.0,1579.0,350900.0,2553.0,20347,2001.0,1634.0,2023.0,370800.0,2558.0,27395,2002.0,1700.0,1979.0,394600.0,2679.0,27395,2003.0,1409.0,1565.0,428000.0,2861.0
34,25359,2002.0,1172.0,1281.0,459300.0,3061.0,78738,28439,2002.0,1183.0,1341.0,466700.0,3246.0,26385,2002.0,1185.0,1344.0,460200.0,3200.0,27915,2003.0,1216.0,1373.0,456300.0,3139.0,5268,2003.0,1240.0,1402.0,469200.0,3106.0,21099,2004.0,1267.0,1407.0,486000.0,3038.0,27396,2005.0,1350.0,1435.0,496300.0,3039.0,27396,2005.0,1408.0,1529.0,553000.0,3158.0
35,25360,2000.0,1889.0,2001.0,349000.0,2589.0,78739,28440,2000.0,2001.0,2001.0,350500.0,2568.0,26386,2000.0,1948.0,2001.0,355900.0,2553.0,27916,2001.0,1985.0,2001.0,364600.0,2563.0,5269,2000.0,2170.0,2282.0,381400.0,2510.0,21100,2000.0,2243.0,2316.0,394600.0,2519.0,27397,2001.0,2263.0,2339.0,426700.0,2587.0,27397,2001.0,2240.0,2309.0,447500.0,2720.0
