,Unnamed: 0_x,Education (No Schooling)_2012,Education (High School)_2012,Education (GED)_2012,Education (Associate's)_2012,Education (Bachelor's)_2012,Education (Master's)_2012,Education (Master's)_2012,Education (Doctorate)_2012,Zipcode,Unnamed: 0_y,Education (No Schooling)_2013,Education (High School)_2013,Education (GED)_2013,Education (Associate's)_2013,Education (Bachelor's)_2013,Education (Master's)_2013,Education (Master's)_2013,Education (Doctorate)_2013,Unnamed: 0_x,Education (No Schooling)_2014,Education (High School)_2014,Education (GED)_2014,Education (Associate's)_2014,Education (Bachelor's)_2014,Education (Master's)_2014,Education (Master's)_2014,Education (Doctorate)_2014,Unnamed: 0_y,Education (No Schooling)_2015,Education (High School)_2015,Education (GED)_2015,Education (Associate's)_2015,Education (Bachelor's)_2015,Education (Master's)_2015,Education (Master's)_2015,Education (Doctorate)_2015,Unnamed: 0_x,Education (No Schooling)_2016,Education (High School)_2016,Education (GED)_2016,Education (Associate's)_2016,Education (Bachelor's)_2016,Education (Master's)_2016,Education (Master's)_2016,Education (Doctorate)_2016,Unnamed: 0_y,Education (No Schooling)_2017,Education (High School)_2017,Education (GED)_2017,Education (Associate's)_2017,Education (Bachelor's)_2017,Education (Master's)_2017,Education (Master's)_2017,Education (Doctorate)_2017,Unnamed: 0,Education (No Schooling)_2018,Education (High School)_2018,Education (GED)_2018,Education (Associate's)_2018,Education (Bachelor's)_2018,Education (Master's)_2018,Education (Master's)_2018,Education (Doctorate)_2018
20,27382,232.0,2638.0,529.0,655.0,828.0,234.0,59.0,18.0,78724,27225,174.0,2740.0,582.0,683.0,915.0,245.0,18.0,71.0,27862,198.0,2897.0,569.0,473.0,980.0,295.0,42.0,82.0,32227,191.0,2858.0,626.0,506.0,1104.0,243.0,31.0,66.0,20480,367.0,2836.0,628.0,564.0,1139.0,283.0,35.0,119.0,2694,305.0,3067.0,665.0,614.0,1109.0,499.0,35.0,94.0,19013,371.0,3271.0,713.0,557.0,1264.0,563.0,39.0,104.0
21,27383,133.0,792.0,145.0,164.0,565.0,143.0,0.0,9.0,78725,27226,61.0,1153.0,97.0,120.0,597.0,127.0,0.0,15.0,27863,72.0,1182.0,115.0,141.0,638.0,142.0,0.0,8.0,32228,68.0,1052.0,253.0,159.0,575.0,225.0,7.0,4.0,20481,142.0,1465.0,264.0,183.0,655.0,219.0,16.0,13.0,2820,126.0,1444.0,274.0,208.0,493.0,264.0,56.0,13.0,19497,124.0,1401.0,279.0,209.0,593.0,357.0,52.0,75.0
22,27384,0.0,599.0,230.0,679.0,2557.0,1539.0,87.0,240.0,78726,27227,39.0,520.0,278.0,515.0,2793.0,1880.0,218.0,229.0,27864,32.0,357.0,309.0,578.0,2887.0,1893.0,197.0,208.0,32229,58.0,433.0,311.0,449.0,3050.0,1911.0,206.0,128.0,20482,95.0,481.0,31.0,382.0,3742.0,1845.0,248.0,207.0,2799,110.0,724.0,30.0,394.0,3859.0,1895.0,206.0,218.0,17968,53.0,708.0,24.0,456.0,4155.0,1616.0,185.0,213.0
23,27385,42.0,2326.0,458.0,1103.0,7147.0,2559.0,313.0,405.0,78727,27228,34.0,2392.0,509.0,1212.0,7164.0,2317.0,353.0,426.0,27865,100.0,2468.0,468.0,1331.0,7234.0,2446.0,349.0,510.0,32230,82.0,2479.0,562.0,1369.0,7725.0,2810.0,336.0,431.0,20483,93.0,2277.0,613.0,1295.0,8012.0,3016.0,485.0,396.0,2695,158.0,2369.0,523.0,1301.0,8341.0,3015.0,524.0,450.0,19014,162.0,2103.0,494.0,1303.0,8420.0,3768.0,560.0,468.0
24,27386,137.0,2326.0,330.0,1361.0,3683.0,1366.0,168.0,139.0,78728,27229,90.0,2152.0,310.0,1370.0,3850.0,1475.0,199.0,138.0,27866,109.0,2460.0,485.0,1332.0,4175.0,1326.0,200.0,122.0,32231,147.0,2808.0,354.0,1493.0,4228.0,1539.0,200.0,185.0,21654,147.0,3023.0,326.0,1292.0,4869.0,1301.0,146.0,188.0,2800,188.0,3053.0,313.0,1071.0,4942.0,1376.0,166.0,154.0,17969,137.0,3540.0,369.0,1102.0,4861.0,1345.0,147.0,194.0
25,27387,45.0,2754.0,252.0,1343.0,6122.0,1690.0,420.0,170.0,78729,27230,38.0,2461.0,184.0,1212.0,5694.0,1919.0,402.0,158.0,27867,42.0,2573.0,290.0,1348.0,6059.0,1829.0,390.0,163.0,32232,19.0,2541.0,303.0,1487.0,6324.0,2131.0,533.0,288.0,21655,19.0,2605.0,380.0,1688.0,7144.0,2363.0,528.0,297.0,2683,23.0,2547.0,552.0,1661.0,7046.0,2624.0,458.0,350.0,18991,62.0,2684.0,703.0,1514.0,7269.0,2918.0,504.0,337.0
26,27388,0.0,281.0,68.0,325.0,2200.0,1083.0,337.0,258.0,78730,27231,0.0,239.0,67.0,356.0,2543.0,1220.0,320.0,279.0,27868,17.0,253.0,75.0,269.0,2404.0,1199.0,364.0,229.0,32233,16.0,280.0,73.0,272.0,2537.0,1197.0,419.0,285.0,21656,18.0,405.0,54.0,325.0,2645.0,1286.0,423.0,219.0,2696,15.0,325.0,16.0,287.0,2810.0,1285.0,511.0,249.0,19015,13.0,353.0,63.0,360.0,2920.0,1321.0,632.0,237.0
27,27389,40.0,1066.0,88.0,748.0,6952.0,3625.0,1810.0,1165.0,78731,27232,69.0,1020.0,122.0,688.0,7528.0,3747.0,1642.0,1052.0,27869,62.0,1076.0,150.0,658.0,7787.0,3660.0,1779.0,1105.0,32234,24.0,965.0,178.0,578.0,7941.0,4036.0,1652.0,1119.0,21657,96.0,1147.0,219.0,645.0,7880.0,4564.0,1632.0,998.0,17854,100.0,895.0,169.0,710.0,8051.0,4692.0,1670.0,1134.0,19595,98.0,903.0,159.0,726.0,7963.0,4807.0,1813.0,1193.0
28,27390,0.0,551.0,174.0,318.0,3897.0,1824.0,424.0,260.0,78732,27233,0.0,606.0,163.0,434.0,4010.0,1914.0,466.0,462.0,27870,21.0,566.0,156.0,399.0,4017.0,2042.0,427.0,483.0,32235,34.0,549.0,136.0,571.0,4315.0,2081.0,475.0,519.0,21658,41.0,605.0,41.0,646.0,4550.0,1777.0,602.0,432.0,171,51.0,550.0,70.0,533.0,5156.0,1941.0,575.0,429.0,19644,42.0,517.0,77.0,600.0,4903.0,2501.0,354.0,254.0
29,27391,18.0,465.0,68.0,293.0,2034.0,1377.0,536.0,269.0,78733,27234,12.0,567.0,86.0,242.0,2106.0,1240.0,612.0,326.0,27871,11.0,513.0,42.0,280.0,2325.0,1265.0,565.0,336.0,32236,12.0,399.0,48.0,239.0,2448.0,1157.0,558.0,298.0,21659,17.0,377.0,40.0,255.0,2364.0,1145.0,546.0,348.0,2697,4.0,338.0,31.0,275.0,2224.0,980.0,575.0,343.0,19017,5.0,211.0,45.0,285.0,2183.0,1104.0,551.0,342.0
30,27392,38.0,1787.0,191.0,574.0,4261.0,1471.0,350.0,307.0,78734,27235,47.0,1830.0,261.0,591.0,4408.0,1497.0,301.0,242.0,27872,13.0,1656.0,248.0,535.0,4325.0,1676.0,289.0,317.0,32237,15.0,1806.0,264.0,570.0,4607.0,1760.0,271.0,302.0,21660,15.0,1889.0,222.0,668.0,4847.0,1764.0,310.0,318.0,17855,7.0,1538.0,202.0,628.0,5152.0,1997.0,333.0,342.0,19596,6.0,1384.0,75.0,600.0,5306.0,1859.0,505.0,407.0
31,27393,62.0,778.0,110.0,560.0,4854.0,1672.0,701.0,425.0,78735,27236,102.0,730.0,96.0,605.0,4952.0,1822.0,766.0,437.0,27873,66.0,864.0,94.0,563.0,4774.0,2037.0,879.0,500.0,32238,60.0,1037.0,84.0,483.0,4793.0,2217.0,850.0,467.0,21661,78.0,1172.0,133.0,410.0,4689.0,2131.0,701.0,404.0,2731,73.0,1220.0,91.0,431.0,4832.0,2441.0,582.0,414.0,19087,63.0,1314.0,97.0,439.0,4914.0,2329.0,527.0,451.0
32,27394,37.0,776.0,167.0,337.0,1727.0,731.0,79.0,113.0,78736,27237,56.0,652.0,110.0,270.0,1803.0,833.0,62.0,86.0,27874,34.0,742.0,154.0,211.0,1726.0,853.0,108.0,85.0,32239,0.0,771.0,184.0,442.0,1991.0,842.0,121.0,92.0,21662,0.0,715.0,177.0,402.0,2173.0,809.0,113.0,105.0,2801,0.0,658.0,142.0,407.0,2238.0,772.0,128.0,72.0,17970,0.0,841.0,131.0,442.0,2523.0,674.0,241.0,69.0
