"SAGDP9N Real GDP by state 1/"
"(Millions of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"48000","Texas","33","        Plastics and rubber products manufacturing",3660.6,3794.9,4220.6,4603.1,4635.5,4179.1,4212.7,4859.4,4914.8,4852.3,4934.7,4658.3,4331.8,4487.5,4278.0,4664.3,4715.3,4723.3,4858.1,4631.4,4539.8,"(NA)"
"48000","Texas","34","    Wholesale trade",52777.1,60871.9,65755.7,69296.1,69808.5,68914.3,71509.5,79578.9,85437.4,90250.3,97146.9,100948.0,91209.3,99640.0,105806.4,116551.8,119690.1,125119.5,129221.7,126581.8,126174.0,128360.9
"48000","Texas","35","    Retail trade",49897.5,55942.4,58537.5,60316.0,63197.1,66069.3,68041.6,67609.7,70713.5,72697.9,71234.0,70384.3,69691.7,71401.0,72092.9,75322.7,78466.8,82191.0,86417.0,88573.9,90977.8,96603.1
"48000","Texas","36","    Transportation and warehousing",35933.4,39984.2,41378.0,41093.5,43172.0,36897.6,37710.8,41076.2,42824.2,45458.7,45375.4,47108.0,43946.2,46948.6,47966.0,50492.1,47655.4,49520.8,51236.6,50993.4,53702.4,56178.6
"48000","Texas","37","      Air transportation",11381.4,11536.2,11483.4,9326.9,7041.9,6889.8,7102.4,8173.4,8629.1,9335.0,10062.8,9804.8,9519.5,10150.1,10489.4,10311.3,10275.6,10637.0,12062.3,12391.7,13048.8,"(NA)"
"48000","Texas","38","      Rail transportation",2883.1,3074.6,3286.1,3502.0,3441.6,3258.6,3519.1,3735.2,3850.3,3994.3,3900.1,3910.3,3439.1,3450.0,3483.9,3723.7,3490.5,3524.0,3618.5,3414.9,3499.0,"(NA)"
"48000","Texas","39","      Water transportation",659.8,600.5,462.7,492.4,450.4,316.9,319.3,421.9,459.4,670.4,642.1,760.2,985.5,813.9,838.8,922.0,1321.4,1318.3,934.3,827.0,716.8,"(NA)"
"48000","Texas","40","      Truck transportation",8038.3,8813.1,9319.8,9738.0,9266.7,8899.4,8925.4,9319.2,10013.0,11067.1,11513.2,10749.0,9867.3,10761.2,11997.4,13014.2,13528.7,14666.9,14126.5,13103.9,13886.5,"(NA)"
"48000","Texas","41","      Transit and ground passenger transportation",913.7,1123.4,1332.0,1295.5,1322.4,1315.7,1263.4,1151.7,1061.7,1053.9,1205.1,1321.3,1276.6,1279.7,1375.7,1398.5,1384.2,1506.4,1554.5,1339.4,1306.8,"(NA)"
"48000","Texas","42","      Pipeline transportation",3438.8,5492.1,7157.4,7688.7,14602.3,7305.2,7042.4,6503.3,5601.6,5157.1,5769.2,6498.7,5880.0,7646.2,6674.5,8005.4,4981.3,4993.5,5762.1,6147.3,6806.5,"(NA)"
"48000","Texas","43","      Other transportation and support activities",8458.9,8972.6,8146.1,8916.0,8897.6,9142.3,9236.2,10326.0,11130.8,11373.4,9996.7,10427.4,9357.1,9451.2,9363.0,9093.4,8579.3,8372.8,8595.7,8600.1,9042.3,"(NA)"
"48000","Texas","44","      Warehousing and storage",1202.3,1401.9,1409.8,1452.8,1341.2,1434.4,1820.1,2487.0,2799.9,3064.2,2569.5,3716.8,3549.5,3459.1,3774.2,4023.4,4185.6,4649.9,4725.8,5417.3,5651.6,"(NA)"
"48000","Texas","45","    Information",23968.7,26813.8,28536.4,30259.3,30208.2,32422.0,33549.0,36486.8,38260.0,41058.1,49876.5,52879.4,49182.7,49670.3,50136.0,49328.5,53848.0,54694.6,59617.6,62424.2,67228.5,73451.6
"48000","Texas","46","      Publishing industries (except Internet)",5127.8,5580.4,6704.9,5812.3,5638.1,6946.6,7929.1,9552.2,9838.4,8599.7,9934.8,8867.3,8182.1,9069.4,8941.2,9469.6,9874.9,9487.6,9368.7,9662.3,10463.9,"(NA)"
