ID Occupation,Occupation,ID Year,Year,Median Earnings by Occupation,Median Earnings by Occupation Moe,Geography,ID Geography,Slug Geography
9,"Education, Legal, Community Service, Arts, & Media Occupations",2016,"2016",41788,1716,"Austin, TX","16000US4805000","austin-tx"
9,"Education, Legal, Community Service, Arts, & Media Occupations",2015,"2015",41752,1154,"Austin, TX","16000US4805000","austin-tx"
31,"Installation, Maintenance, & Repair Occupations",2018,"2018",41411,3964,"Austin, TX","16000US4805000","austin-tx"
10,"Community & Social Service Occupations",2017,"2017",41343,3695,"Austin, TX","16000US4805000","austin-tx"
19,"Protective Service Occupations",2017,"2017",41136,13495,"Austin, TX","16000US4805000","austin-tx"
21,"Law Enforcement Workers Including Supervisors",2013,"2013",41128,4611,"Austin, TX","16000US4805000","austin-tx"
19,"Protective Service Occupations",2018,"2018",41082,4885,"Austin, TX","16000US4805000","austin-tx"
9,"Education, Legal, Community Service, Arts, & Media Occupations",2013,"2013",40831,2032,"Austin, TX","16000US4805000","austin-tx"
26,"Sales & Related Occupations",2017,"2017",40745,6726,"Austin, TX","16000US4805000","austin-tx"
10,"Community & Social Service Occupations",2016,"2016",40735,5391,"Austin, TX","16000US4805000","austin-tx"
9,"Education, Legal, Community Service, Arts, & Media Occupations",2014,"2014",40624,1579,"Austin, TX","16000US4805000","austin-tx"
0,"Total",2016,"2016",40617,687,"Austin, TX","16000US4805000","austin-tx"
16,"Health Technologists & Technicians",2017,"2017",40278,6559,"Austin, TX","16000US4805000","austin-tx"
12,"Education Instruction, & Library Occupations",2013,"2013",40273,4606,"Austin, TX","16000US4805000","austin-tx"
31,"Installation, Maintenance, & Repair Occupations",2016,"2016",40271,8672,"Austin, TX","16000US4805000","austin-tx"
19,"Protective Service Occupations",2014,"2014",39475,17208,"Austin, TX","16000US4805000","austin-tx"
34,"Transportation Occupations",2016,"2016",39120,17666,"Austin, TX","16000US4805000","austin-tx"
25,"Sales & Office Occupations",2018,"2018",38993,2197,"Austin, TX","16000US4805000","austin-tx"
13,"Arts, Design, Entertainment, Sports, & Media Occupations",2016,"2016",38305,5585,"Austin, TX","16000US4805000","austin-tx"
16,"Health Technologists & Technicians",2016,"2016",38253,6408,"Austin, TX","16000US4805000","austin-tx"
12,"Education Instruction, & Library Occupations",2015,"2015",37506,4550,"Austin, TX","16000US4805000","austin-tx"
26,"Sales & Related Occupations",2016,"2016",37395,4412,"Austin, TX","16000US4805000","austin-tx"
16,"Health Technologists & Technicians",2018,"2018",37307,12196,"Austin, TX","16000US4805000","austin-tx"
12,"Education Instruction, & Library Occupations",2014,"2014",37139,6972,"Austin, TX","16000US4805000","austin-tx"
19,"Protective Service Occupations",2015,"2015",37041,6688,"Austin, TX","16000US4805000","austin-tx"
12,"Education Instruction, & Library Occupations",2016,"2016",36909,5811,"Austin, TX","16000US4805000","austin-tx"
0,"Total",2015,"2015",36868,691,"Austin, TX","16000US4805000","austin-tx"
31,"Installation, Maintenance, & Repair Occupations",2013,"2013",36816,5131,"Austin, TX","16000US4805000","austin-tx"
31,"Installation, Maintenance, & Repair Occupations",2017,"2017",36799,3286,"Austin, TX","16000US4805000","austin-tx"
34,"Transportation Occupations",2017,"2017",36650,4753,"Austin, TX","16000US4805000","austin-tx"
13,"Arts, Design, Entertainment, Sports, & Media Occupations",2014,"2014",36626,3284,"Austin, TX","16000US4805000","austin-tx"
10,"Community & Social Service Occupations",2015,"2015",36553,2433,"Austin, TX","16000US4805000","austin-tx"
33,"Production Occupations",2018,"2018",36446,2842,"Austin, TX","16000US4805000","austin-tx"
31,"Installation, Maintenance, & Repair Occupations",2015,"2015",36431,4426,"Austin, TX","16000US4805000","austin-tx"
16,"Health Technologists & Technicians",2015,"2015",35969,8171,"Austin, TX","16000US4805000","austin-tx"
0,"Total",2014,"2014",35814,702,"Austin, TX","16000US4805000","austin-tx"
25,"Sales & Office Occupations",2017,"2017",35701,1298,"Austin, TX","16000US4805000","austin-tx"
31,"Installation, Maintenance, & Repair Occupations",2014,"2014",35482,4569,"Austin, TX","16000US4805000","austin-tx"
13,"Arts, Design, Entertainment, Sports, & Media Occupations",2013,"2013",35455,5045,"Austin, TX","16000US4805000","austin-tx"
16,"Health Technologists & Technicians",2013,"2013",35210,5703,"Austin, TX","16000US4805000","austin-tx"
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2018,"2018",35208,8599,"Austin, TX","16000US4805000","austin-tx"
27,"Office & Administrative Support Occupations",2018,"2018",34912,2155,"Austin, TX","16000US4805000","austin-tx"
10,"Community & Social Service Occupations",2013,"2013",34158,5477,"Austin, TX","16000US4805000","austin-tx"
25,"Sales & Office Occupations",2016,"2016",33827,3482,"Austin, TX","16000US4805000","austin-tx"
26,"Sales & Related Occupations",2015,"2015",33294,4330,"Austin, TX","16000US4805000","austin-tx"
0,"Total",2013,"2013",32599,1691,"Austin, TX","16000US4805000","austin-tx"
16,"Health Technologists & Technicians",2014,"2014",32153,10728,"Austin, TX","16000US4805000","austin-tx"
28,"Natural Resources, Construction, & Maintenance Occupations",2018,"2018",32053,4831,"Austin, TX","16000US4805000","austin-tx"
27,"Office & Administrative Support Occupations",2017,"2017",31945,1527,"Austin, TX","16000US4805000","austin-tx"
25,"Sales & Office Occupations",2015,"2015",31795,1134,"Austin, TX","16000US4805000","austin-tx"
33,"Production Occupations",2017,"2017",31525,2551,"Austin, TX","16000US4805000","austin-tx"
28,"Natural Resources, Construction, & Maintenance Occupations",2017,"2017",31424,1303,"Austin, TX","16000US4805000","austin-tx"
10,"Community & Social Service Occupations",2014,"2014",31420,4419,"Austin, TX","16000US4805000","austin-tx"
27,"Office & Administrative Support Occupations",2016,"2016",31280,1277,"Austin, TX","16000US4805000","austin-tx"
27,"Office & Administrative Support Occupations",2015,"2015",31239,1252,"Austin, TX","16000US4805000","austin-tx"
26,"Sales & Related Occupations",2014,"2014",31217,1718,"Austin, TX","16000US4805000","austin-tx"
32,"Production, Transportation, & Material Moving Occupations",2017,"2017",31111,2528,"Austin, TX","16000US4805000","austin-tx"
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2015,"2015",30797,5223,"Austin, TX","16000US4805000","austin-tx"
30,"Construction & Extraction Occupations",2017,"2017",30593,1825,"Austin, TX","16000US4805000","austin-tx"
30,"Construction & Extraction Occupations",2018,"2018",30527,2853,"Austin, TX","16000US4805000","austin-tx"
34,"Transportation Occupations",2018,"2018",30519,3506,"Austin, TX","16000US4805000","austin-tx"
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2014,"2014",30501,13478,"Austin, TX","16000US4805000","austin-tx"
25,"Sales & Office Occupations",2014,"2014",30460,870,"Austin, TX","16000US4805000","austin-tx"
26,"Sales & Related Occupations",2013,"2013",30433,4061,"Austin, TX","16000US4805000","austin-tx"
18,"Healthcare Support Occupations",2018,"2018",30179,2173,"Austin, TX","16000US4805000","austin-tx"
27,"Office & Administrative Support Occupations",2014,"2014",30022,1960,"Austin, TX","16000US4805000","austin-tx"
33,"Production Occupations",2016,"2016",30010,5619,"Austin, TX","16000US4805000","austin-tx"
28,"Natural Resources, Construction, & Maintenance Occupations",2016,"2016",30001,3252,"Austin, TX","16000US4805000","austin-tx"
34,"Transportation Occupations",2015,"2015",29749,2793,"Austin, TX","16000US4805000","austin-tx"
32,"Production, Transportation, & Material Moving Occupations",2018,"2018",29495,2696,"Austin, TX","16000US4805000","austin-tx"
25,"Sales & Office Occupations",2013,"2013",29128,1818,"Austin, TX","16000US4805000","austin-tx"
27,"Office & Administrative Support Occupations",2013,"2013",28634,1391,"Austin, TX","16000US4805000","austin-tx"
28,"Natural Resources, Construction, & Maintenance Occupations",2015,"2015",27926,1771,"Austin, TX","16000US4805000","austin-tx"
34,"Transportation Occupations",2014,"2014",27861,3120,"Austin, TX","16000US4805000","austin-tx"
32,"Production, Transportation, & Material Moving Occupations",2016,"2016",27362,4091,"Austin, TX","16000US4805000","austin-tx"
18,"Healthcare Support Occupations",2016,"2016",27232,4856,"Austin, TX","16000US4805000","austin-tx"
18,"Healthcare Support Occupations",2017,"2017",27177,2703,"Austin, TX","16000US4805000","austin-tx"
32,"Production, Transportation, & Material Moving Occupations",2015,"2015",26982,1806,"Austin, TX","16000US4805000","austin-tx"
33,"Production Occupations",2014,"2014",26566,2675,"Austin, TX","16000US4805000","austin-tx"
33,"Production Occupations",2013,"2013",26441,3529,"Austin, TX","16000US4805000","austin-tx"
30,"Construction & Extraction Occupations",2016,"2016",26419,3683,"Austin, TX","16000US4805000","austin-tx"
28,"Natural Resources, Construction, & Maintenance Occupations",2014,"2014",26395,1226,"Austin, TX","16000US4805000","austin-tx"
29,"Farming, Fishing, & Forestry Occupations",2015,"2015",26284,17275,"Austin, TX","16000US4805000","austin-tx"
32,"Production, Transportation, & Material Moving Occupations",2014,"2014",26242,1636,"Austin, TX","16000US4805000","austin-tx"
28,"Natural Resources, Construction, & Maintenance Occupations",2013,"2013",26134,1454,"Austin, TX","16000US4805000","austin-tx"
30,"Construction & Extraction Occupations",2015,"2015",25902,2532,"Austin, TX","16000US4805000","austin-tx"
18,"Healthcare Support Occupations",2013,"2013",25868,5051,"Austin, TX","16000US4805000","austin-tx"
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2017,"2017",25740,5263,"Austin, TX","16000US4805000","austin-tx"
33,"Production Occupations",2015,"2015",25722,1674,"Austin, TX","16000US4805000","austin-tx"
19,"Protective Service Occupations",2013,"2013",25518,7050,"Austin, TX","16000US4805000","austin-tx"
34,"Transportation Occupations",2013,"2013",25218,2213,"Austin, TX","16000US4805000","austin-tx"
35,"Material Moving Occupations",2015,"2015",25155,5635,"Austin, TX","16000US4805000","austin-tx"
32,"Production, Transportation, & Material Moving Occupations",2013,"2013",25002,1964,"Austin, TX","16000US4805000","austin-tx"
30,"Construction & Extraction Occupations",2014,"2014",24986,1353,"Austin, TX","16000US4805000","austin-tx"
30,"Construction & Extraction Occupations",2013,"2013",24366,2374,"Austin, TX","16000US4805000","austin-tx"
18,"Healthcare Support Occupations",2015,"2015",23947,4024,"Austin, TX","16000US4805000","austin-tx"
35,"Material Moving Occupations",2016,"2016",23539,3886,"Austin, TX","16000US4805000","austin-tx"
35,"Material Moving Occupations",2014,"2014",23502,4083,"Austin, TX","16000US4805000","austin-tx"
18,"Healthcare Support Occupations",2014,"2014",23183,3697,"Austin, TX","16000US4805000","austin-tx"
17,"Service Occupations",2018,"2018",21881,1457,"Austin, TX","16000US4805000","austin-tx"
35,"Material Moving Occupations",2013,"2013",21680,2018,"Austin, TX","16000US4805000","austin-tx"
17,"Service Occupations",2016,"2016",21478,932,"Austin, TX","16000US4805000","austin-tx"
23,"Building & Grounds Cleaning & Maintenance Occupations",2017,"2017",21384,1211,"Austin, TX","16000US4805000","austin-tx"
23,"Building & Grounds Cleaning & Maintenance Occupations",2018,"2018",21198,3992,"Austin, TX","16000US4805000","austin-tx"
17,"Service Occupations",2017,"2017",21068,917,"Austin, TX","16000US4805000","austin-tx"
17,"Service Occupations",2015,"2015",20535,885,"Austin, TX","16000US4805000","austin-tx"
24,"Personal Care & Service Occupations",2016,"2016",20311,2222,"Austin, TX","16000US4805000","austin-tx"
23,"Building & Grounds Cleaning & Maintenance Occupations",2016,"2016",20250,2563,"Austin, TX","16000US4805000","austin-tx"
35,"Material Moving Occupations",2018,"2018",20244,2891,"Austin, TX","16000US4805000","austin-tx"
22,"Food Preparation & Serving Related Occupations",2016,"2016",20158,1995,"Austin, TX","16000US4805000","austin-tx"
20,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2013,"2013",19899,3795,"Austin, TX","16000US4805000","austin-tx"
22,"Food Preparation & Serving Related Occupations",2015,"2015",19651,2103,"Austin, TX","16000US4805000","austin-tx"
22,"Food Preparation & Serving Related Occupations",2018,"2018",19599,1589,"Austin, TX","16000US4805000","austin-tx"
23,"Building & Grounds Cleaning & Maintenance Occupations",2015,"2015",19468,2076,"Austin, TX","16000US4805000","austin-tx"
24,"Personal Care & Service Occupations",2013,"2013",19432,2398,"Austin, TX","16000US4805000","austin-tx"
24,"Personal Care & Service Occupations",2015,"2015",19018,1509,"Austin, TX","16000US4805000","austin-tx"
22,"Food Preparation & Serving Related Occupations",2017,"2017",18563,2995,"Austin, TX","16000US4805000","austin-tx"
35,"Material Moving Occupations",2017,"2017",18350,5086,"Austin, TX","16000US4805000","austin-tx"
17,"Service Occupations",2014,"2014",18260,1467,"Austin, TX","16000US4805000","austin-tx"
24,"Personal Care & Service Occupations",2018,"2018",17905,2814,"Austin, TX","16000US4805000","austin-tx"
24,"Personal Care & Service Occupations",2014,"2014",17656,4142,"Austin, TX","16000US4805000","austin-tx"
17,"Service Occupations",2013,"2013",17365,1160,"Austin, TX","16000US4805000","austin-tx"
29,"Farming, Fishing, & Forestry Occupations",2017,"2017",17309,18335,"Austin, TX","16000US4805000","austin-tx"
24,"Personal Care & Service Occupations",2017,"2017",17199,2781,"Austin, TX","16000US4805000","austin-tx"
22,"Food Preparation & Serving Related Occupations",2014,"2014",17131,984,"Austin, TX","16000US4805000","austin-tx"
22,"Food Preparation & Serving Related Occupations",2013,"2013",16327,803,"Austin, TX","16000US4805000","austin-tx"
23,"Building & Grounds Cleaning & Maintenance Occupations",2014,"2014",16275,1685,"Austin, TX","16000US4805000","austin-tx"
23,"Building & Grounds Cleaning & Maintenance Occupations",2013,"2013",15845,936,"Austin, TX","16000US4805000","austin-tx"
29,"Farming, Fishing, & Forestry Occupations",2014,"2014",15417,11589,"Austin, TX","16000US4805000","austin-tx"
29,"Farming, Fishing, & Forestry Occupations",2016,"2016",13564,3625,"Austin, TX","16000US4805000","austin-tx"
29,"Farming, Fishing, & Forestry Occupations",2018,"2018",11842,13003,"Austin, TX","16000US4805000","austin-tx"
