,Zip,Permits Issued (2008-2018),City,State,Latitude,Longitude,Zillow Rent Index (ZRI),"$200,000 or more",Median Age,Population,Population (White Alone),Population (Black Alone),Population (American Indian or Alaskan Native Alone),Population (Asian Alone),Population (Native Hawaiian and Other Pacific Islander Alone),Population (Two or more races),Household Income,Per Capita Income,Employed,Unemployed,NAME_x,Poverty White,Poverty Black,Poverty American Indian,Poverty Asian,Poverty Hispanic,Poverty Two or More Races,Total Poverty Count,Poverty Male,Poverty Female,NAME_y,Education (No Schooling),Education (High School),Education (GED),Education (Associate's),Education (Bachelor's),Education (Master's),Education (Professional),Education (Doctorate),NAME_x,Median year housing units were built,Median contract rent,Median gross rent (contract rent plus utilities),Median value (dollars) for Owner-Occupied housing units,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status,NAME_y
27,78756.0,10121,Austin,TX,30.320206,-97.74176999999999,1708,300,34.8,8125.0,7051.0,404.0,0.0,315.0,52.0,149.0,59854.0,43422.0,5226.0,123.0,ZCTA5 78756,698.0,91.0,0.0,41.0,0.0,0.0,915.0,590.0,325.0,ZCTA5 78756,9.0,328.0,152.0,251.0,2218.0,1293.0,211.0,339.0,ZCTA5 78756,1960.0,812.0,894.0,364400.0,2409.0,ZCTA5 78756
28,78721.0,9540,Austin,TX,30.272926000000002,-97.68665,1672,0,32.2,11482.0,5552.0,3748.0,223.0,38.0,8.0,326.0,33798.0,15789.0,4469.0,782.0,ZCTA5 78721,1957.0,979.0,64.0,15.0,8.0,66.0,3747.0,1500.0,2247.0,ZCTA5 78721,296.0,1599.0,419.0,249.0,783.0,187.0,38.0,19.0,ZCTA5 78721,1972.0,701.0,899.0,124800.0,1164.0,ZCTA5 78721
29,78617.0,9263,Del Valle,TX,30.166225,-97.62496,1490,22,30.0,21096.0,13458.0,2435.0,367.0,434.0,0.0,671.0,45212.0,15029.0,7938.0,1450.0,ZCTA5 78617,2428.0,190.0,172.0,73.0,0.0,42.0,4156.0,2141.0,2015.0,ZCTA5 78617,474.0,2982.0,812.0,454.0,1270.0,227.0,12.0,0.0,ZCTA5 78617,1999.0,813.0,1105.0,99700.0,1202.0,ZCTA5 78617
30,78752.0,8970,Austin,TX,30.332506,-97.70571,1566,34,30.2,18381.0,12439.0,2220.0,168.0,513.0,0.0,322.0,34716.0,18845.0,9979.0,929.0,ZCTA5 78752,4769.0,770.0,0.0,69.0,0.0,48.0,6490.0,3242.0,3248.0,ZCTA5 78752,339.0,2075.0,480.0,493.0,2095.0,807.0,88.0,120.0,ZCTA5 78752,1976.0,664.0,805.0,163900.0,1368.0,ZCTA5 78752
31,78730.0,8354,Austin,TX,30.359934999999997,-97.83125,1484,1015,37.8,8916.0,7958.0,29.0,0.0,480.0,93.0,170.0,120568.0,73526.0,5052.0,226.0,ZCTA5 78730,367.0,0.0,0.0,37.0,0.0,45.0,449.0,138.0,311.0,ZCTA5 78730,0.0,239.0,67.0,356.0,2543.0,1220.0,320.0,279.0,ZCTA5 78730,1999.0,987.0,1138.0,580300.0,3191.0,ZCTA5 78730
32,78729.0,7697,Austin,TX,30.451348,-97.76588000000001,1635,279,33.6,26906.0,20273.0,2553.0,51.0,2592.0,0.0,1047.0,60690.0,34237.0,16813.0,1016.0,ZCTA5 78729,1339.0,187.0,0.0,362.0,0.0,54.0,1967.0,867.0,1100.0,ZCTA5 78729,38.0,2461.0,184.0,1212.0,5694.0,1919.0,402.0,158.0,ZCTA5 78729,1991.0,857.0,1027.0,191300.0,1639.0,ZCTA5 78729
33,78722.0,6526,Austin,TX,30.289307,-97.71659,1801,70,33.6,6355.0,4975.0,649.0,38.0,244.0,34.0,171.0,50923.0,36289.0,4038.0,340.0,ZCTA5 78722,554.0,157.0,0.0,10.0,34.0,15.0,968.0,442.0,526.0,ZCTA5 78722,0.0,401.0,46.0,189.0,1978.0,859.0,102.0,197.0,ZCTA5 78722,1956.0,870.0,974.0,279200.0,1981.0,ZCTA5 78722
34,78726.0,6422,Austin,TX,30.439053,-97.83503,1892,624,30.3,13181.0,10328.0,563.0,56.0,1654.0,0.0,134.0,67466.0,41210.0,7929.0,494.0,ZCTA5 78726,1116.0,61.0,0.0,0.0,0.0,47.0,1224.0,587.0,637.0,ZCTA5 78726,39.0,520.0,278.0,515.0,2793.0,1880.0,218.0,229.0,ZCTA5 78726,2001.0,872.0,1051.0,344700.0,2506.0,ZCTA5 78726
35,78725.0,5068,Austin,TX,30.231583,-97.60991999999999,1557,0,31.7,8169.0,4744.0,2237.0,0.0,33.0,0.0,364.0,52381.0,18279.0,4366.0,284.0,ZCTA5 78725,845.0,381.0,0.0,0.0,0.0,65.0,1342.0,629.0,713.0,ZCTA5 78725,61.0,1153.0,97.0,120.0,597.0,127.0,0.0,15.0,ZCTA5 78725,2000.0,951.0,1289.0,111800.0,1203.0,ZCTA5 78725
36,78652.0,4694,Manchaca,TX,30.12848,-97.8438,1671,38,36.5,5117.0,4649.0,124.0,0.0,55.0,0.0,115.0,76604.0,35643.0,2775.0,234.0,ZCTA5 78652,155.0,3.0,0.0,0.0,0.0,26.0,209.0,103.0,106.0,ZCTA5 78652,25.0,713.0,51.0,164.0,1271.0,313.0,22.0,10.0,ZCTA5 78652,1985.0,925.0,1113.0,191200.0,1665.0,ZCTA5 78652
37,78732.0,4263,Austin,TX,30.382724,-97.89459000000001,1781,1405,37.2,15097.0,12946.0,228.0,103.0,1350.0,0.0,356.0,131216.0,52104.0,6490.0,383.0,ZCTA5 78732,338.0,0.0,0.0,0.0,0.0,0.0,338.0,219.0,119.0,ZCTA5 78732,0.0,606.0,163.0,434.0,4010.0,1914.0,466.0,462.0,ZCTA5 78732,2003.0,1419.0,1702.0,389900.0,3059.0,ZCTA5 78732
38,78653.0,4125,Manor,TX,30.351225,-97.54731,1623,64,30.5,16917.0,9857.0,3708.0,161.0,297.0,0.0,548.0,59763.0,21044.0,7751.0,719.0,ZCTA5 78653,1338.0,539.0,83.0,29.0,0.0,0.0,2501.0,1139.0,1362.0,ZCTA5 78653,278.0,1916.0,331.0,778.0,1744.0,391.0,145.0,42.0,ZCTA5 78653,2003.0,1011.0,1328.0,141200.0,1528.0,ZCTA5 78653
39,78734.0,3994,Austin,TX,30.378675,-97.95028,1801,1095,43.1,18290.0,16476.0,65.0,35.0,597.0,0.0,131.0,87300.0,46328.0,9021.0,732.0,ZCTA5 78734,1350.0,0.0,0.0,0.0,0.0,17.0,1710.0,834.0,876.0,ZCTA5 78734,47.0,1830.0,261.0,591.0,4408.0,1497.0,301.0,242.0,ZCTA5 78734,1993.0,1100.0,1300.0,326900.0,2302.0,ZCTA5 78734
40,78736.0,3852,Austin,TX,30.245558000000003,-97.94176999999999,1598,185,45.6,6599.0,5694.0,33.0,57.0,427.0,0.0,212.0,84940.0,40537.0,3561.0,213.0,ZCTA5 78736,157.0,1.0,0.0,124.0,0.0,0.0,282.0,118.0,164.0,ZCTA5 78736,56.0,652.0,110.0,270.0,1803.0,833.0,62.0,86.0,ZCTA5 78736,1987.0,1032.0,1236.0,228900.0,1758.0,ZCTA5 78736
41,78738.0,3843,Austin,TX,30.340111,-97.98869,1983,1496,39.6,13141.0,11655.0,153.0,17.0,944.0,0.0,306.0,118795.0,49878.0,5677.0,445.0,ZCTA5 78738,473.0,0.0,0.0,60.0,0.0,61.0,594.0,222.0,372.0,ZCTA5 78738,2.0,618.0,57.0,490.0,3865.0,1552.0,400.0,133.0,ZCTA5 78738,2002.0,1185.0,1344.0,460200.0,3200.0,ZCTA5 78738
42,78728.0,2842,Austin,TX,30.451803,-97.67989,1424,95,31.0,20817.0,13379.0,3595.0,292.0,1878.0,65.0,780.0,48612.0,29156.0,12470.0,853.0,ZCTA5 78728,1779.0,376.0,0.0,392.0,29.0,196.0,2881.0,1425.0,1456.0,ZCTA5 78728,90.0,2152.0,310.0,1370.0,3850.0,1475.0,199.0,138.0,ZCTA5 78728,1992.0,803.0,940.0,170500.0,1489.0,ZCTA5 78728
43,78733.0,2659,Austin,TX,30.329704,-97.8751,2015,892,41.0,9475.0,8187.0,0.0,9.0,939.0,0.0,266.0,122860.0,62990.0,4233.0,195.0,ZCTA5 78733,261.0,0.0,0.0,0.0,0.0,35.0,309.0,134.0,175.0,ZCTA5 78733,12.0,567.0,86.0,242.0,2106.0,1240.0,612.0,326.0,ZCTA5 78733,1992.0,1260.0,1459.0,487900.0,2945.0,ZCTA5 78733
44,78613.0,1876,Cedar Park,TX,30.501271999999997,-97.83086999999999,1552,1453,34.7,68426.0,56193.0,2864.0,140.0,4992.0,23.0,1910.0,81928.0,34311.0,33830.0,2658.0,ZCTA5 78613,2846.0,262.0,5.0,244.0,0.0,325.0,4075.0,1752.0,2323.0,ZCTA5 78613,78.0,5730.0,1114.0,3437.0,14141.0,4377.0,802.0,514.0,ZCTA5 78613,2000.0,956.0,1107.0,198900.0,1799.0,ZCTA5 78613
45,78610.0,32,Buda,TX,30.07703,-97.8178,1484,299,34.6,25580.0,21828.0,590.0,93.0,301.0,69.0,657.0,79049.0,31048.0,12926.0,1104.0,ZCTA5 78610,2035.0,29.0,0.0,55.0,0.0,14.0,2499.0,1269.0,1230.0,ZCTA5 78610,34.0,3103.0,665.0,1182.0,3801.0,1211.0,97.0,155.0,ZCTA5 78610,1999.0,869.0,1084.0,182400.0,1634.0,ZCTA5 78610
46,78681.0,11,Round Rock,TX,30.518975,-97.71439000000001,1580,1314,35.1,54141.0,43474.0,2515.0,495.0,4151.0,17.0,2513.0,92453.0,34024.0,26463.0,1926.0,ZCTA5 78681,2759.0,372.0,189.0,113.0,0.0,102.0,3668.0,1703.0,1965.0,ZCTA5 78681,281.0,4230.0,923.0,2573.0,10708.0,4191.0,557.0,463.0,ZCTA5 78681,1996.0,922.0,1185.0,213300.0,1883.0,ZCTA5 78681
47,78641.0,11,Leander,TX,30.547001,-97.87006,1546,634,33.4,48854.0,42609.0,1517.0,128.0,949.0,0.0,1460.0,71885.0,29372.0,24117.0,1887.0,ZCTA5 78641,1663.0,40.0,7.0,16.0,0.0,89.0,2054.0,906.0,1148.0,ZCTA5 78641,405.0,5219.0,1381.0,2870.0,7161.0,2025.0,211.0,211.0,ZCTA5 78641,2000.0,1041.0,1312.0,156900.0,1576.0,ZCTA5 78641
48,78664.0,3,Round Rock,TX,30.514401,-97.65549,1439,534,30.9,57806.0,43847.0,6992.0,246.0,2583.0,20.0,2010.0,61401.0,26891.0,29080.0,2806.0,ZCTA5 78664,3563.0,1072.0,30.0,338.0,20.0,176.0,5680.0,3114.0,2566.0,ZCTA5 78664,512.0,6602.0,1231.0,2509.0,7320.0,2212.0,439.0,332.0,ZCTA5 78664,1995.0,833.0,1032.0,149600.0,1482.0,ZCTA5 78664
